,respondent,task,interval,time,company,purpose,purpose_eval,detail,description,desc_eval_comp,desc_eval_elem,desc_eval_char,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,familiarity
26,8,3,2s,68,1,Backpacks and outdoor gear,1,0,"I saw a cheetah or leopard in the picture, two hikers behind him. Didn't see a lot else as this was very dominant",1,2,0,5,4,4,5,4,4,3,4,5,5,FALSE
27,8,4,2s,117,1,Weather forecast,1,0,It had a weather forecast on there with temperatures given,0,1,0,3,5,6,3,5,4,3,4,5,3,FALSE
28,8,5,2s,73,1,Animals,0.5,0,I saw quite a few tabs with different animal groups on them. I think there was a yellow circle and I think there was a mouse or rat,1,3,0,6,5,5,3,6,3,3,5,6,4,FALSE
29,8,6,2s,65,1,No idea,0,0,I saw 4 pictures and quite a lot of writing. It did not look simple to understand at all,1,1,1,1,3,3,4,2,4,3,3,2,3,FALSE
30,9,1,2s,98,1,clothing,1,0,"clean images of children, muted tones, cosy look",1,1,2,5,5,5,5,5,5,4,5,5,4,TRUE
31,9,2,2s,101,1,contact lenses,1,1,"quite sparse, looked like a travel website but think it sold eye care. quite a few images",0,1,1,4,4,4,3,5,5,2,4,4,2,FALSE
32,9,3,2s,93,1,outdoor clothing,1,1,"cute leopard, lots of other images, lots of boxes for clicking through to ",1,2,0,4,4,5,5,5,5,4,4,5,5,FALSE
33,9,4,2s,97,1,weather forecast,1,0,"lots and lots of text, very blue",0,0,2,4,3,4,3,6,2,2,4,4,3,TRUE
34,9,5,2s,99,1,animal products,1,0,"pictures of animals and animal foods, lots of green and yellow",1,1,1,2,2,3,2,4,2,4,4,2,4,FALSE
35,9,6,2s,164,1,reuseable energy,0,0,"lots of text, what looked like news articles, confused looking person, muted colours",1,1,2,2,2,4,4,3,4,4,4,3,4,FALSE
36,10,1,2s,123,0,cloths for kids,1,0,children showing in picture for adv of clothing. online selling website for clothing for kids,0,1,0,6,6,5,4,5,3,4,4,5,5,FALSE
37,10,2,2s,246,0.5,ready for,0,1,picture with a family and laying on beach,0,1,0,4,4,5,5,5,4,4,4,4,4,FALSE
38,10,3,2s,152,1,not sure,0,0,hilspot is the name of the website and there was a picture of a tiger in the center  of the website and i did looked to what it is for but saw the tiger and i think it maybe a site for  tours,2,1,0,4,6,5,5,4,4,4,5,4,4,FALSE
39,10,4,2s,168,1,weather forecast,1,0,it was good looking website with colors related to the weather of the day i believe. it was showing a map with forecast of different ares,1,2,0,4,4,5,5,5,4,4,6,4,5,FALSE
40,10,5,2s,97,1,food items,0,0,food items were shown at the bottoms of the website. it was in packages,0,1,0,4,5,5,4,5,4,4,5,5,5,FALSE
41,10,6,2s,184,1,news provider or articals,0.5,0,the website has many small windows related to different topic for example about the women who was holding a makeup set and i believe the site provides information about news,1,2,0,4,4,4,4,4,4,4,4,3,4,FALSE
42,11,1,2s,131,1,The web page sells child clothes.,1,0,"There are three or four children on the web page, and the brand presents itself as providing sustainable clothes. ",0,1,0,6,5,5,5,2,4,3,5,5,4,FALSE
43,11,2,2s,125,1,It sells vacation or vaccination and sunglasses.,1,1,"There was a family in the photo, and there were some sections under the photo to choose.",0,2,0,5,4,5,3,3,5,3,4,3,4,FALSE
44,11,3,2s,157,1,This web page sell sports products for mountain sports.,1,0,"The brand was on the left top, and there was a big photo of the mountain on the left side. There was a symbol of a panther or tiger. ",1,3,0,6,5,5,4,6,5,3,5,5,4,FALSE
45,11,4,2s,197,1,It provides information for weather forecast.,1,0,The web page was designed simply. It provides information about the weather. I think there were sections to choose day and the place but I am not very sure.,1,1,1,6,6,6,5,7,5,4,6,6,5,FALSE
46,11,5,2s,177,1,I think it sells food. There is too much yellow background. I could not see the parts of the web page very clearly.,0,0,I mean the intensity of the yellow color was too much. The brand name was not very clear and recognisable.,0,0,1,2,1,2,3,1,2,2,2,1,1,FALSE
47,11,6,2s,180,1,I think it provides information what the latest tecnological developments/news.,1,0,"As far as I remember, there were links for news or articles about the technology with bold letters for headings and short summaries or first paragraphs of the news in the web page. ",1,2,0,3,4,3,3,5,2,3,4,2,4,FALSE
48,12,1,2s,130,0,Sustainable fashion,1,1,Individuals wearing sustainable fashion. Different colours and designs being worn.,0,1,0,7,7,7,6,5,5,5,7,7,7,FALSE
49,12,2,2s,346,1,They sell eye-wear e.g sunglasses and contact lenses,1,1,Web page advertising eye wear for families that are going on vacation. Made up of images in relations to eyes.,1,2,0,5,5,5,4,6,3,3,5,5,4,FALSE
50,12,3,2s,99,1,Not sure,0,1,A large white tiger image and underneath offers clothing.,1,1,0,2,2,2,2,4,3,4,2,2,1,FALSE
51,12,4,2s,129,1,Shows the weather forecast,1,1,A nice layout of the weather forecast for Thursday with clouds.,1,1,1,7,5,7,4,7,4,4,5,7,5,FALSE
52,12,5,2s,505,1,Products for animals like furniture and sand.,1,0,Just a simple website for people that own pets and require furniture.,0,0,0,4,2,4,2,6,1,3,4,4,3,FALSE
53,12,6,2s,135,1,Information on technology,1,0,Just general information on technology. Latest news for people to read about online.,0,0,0,6,4,4,4,6,4,4,4,4,4,FALSE
54,13,1,2s,99,1,"It sells clothes for men, kids.",1,0,It's about selling clothes for men and kids.,0,0,0,5,5,5,5,5,5,5,5,5,5,FALSE
55,13,2,2s,100,1,It provides holiday service.,0,1,People can book a tour package from this website.,0,0,0,6,6,6,6,6,6,6,7,6,6,FALSE
56,13,3,2s,103,1,It's about trekking.,0.5,0.5,It's about providing people trekking services.,0,0,0,5,6,6,6,5,5,5,5,5,5,FALSE
57,13,4,2s,80,1,It shows weather forecast.,1,0,You can check weather forecast from this website.,0,0,0,6,6,6,6,6,6,6,6,6,6,FALSE
58,13,5,2s,81,1,It provides all the groceries.,0,0,You can buy all the groceries from this website.,0,0,0,6,6,6,6,6,6,6,6,6,6,FALSE
59,13,6,2s,84,1,It is about technology.,1,0,It was about technology.,0,0,0,5,5,5,5,5,5,5,5,5,5,FALSE
60,14,1,2s,84,1,Clothes,1,0,"There was a min picture that stretched across the page, logo top left, three signposts below.",1,2,0,6,6,6,5,5,5,5,6,6,5,FALSE
61,14,2,2s,95,0.5,glasses,1,0,There was lots of white and blue. There were three signposts below the main image.,1,1,1,6,4,6,4,6,4,4,5,6,5,FALSE
62,14,3,2s,108,1,Clothing and footwear,1,0,"There was an image of a big cat with wording to the right, four signposts below, logo top left.",1,3,0,4,4,5,5,6,4,4,5,5,3,FALSE
63,14,4,2s,80,1,Weather info,1,0,"There was a big map, days of the week underneath and more info down the right hand side.",1,3,0,2,3,5,4,5,3,3,4,5,3,FALSE
64,14,5,2s,111,1,Pet supplies,1,1,There was lots of colour and it felt quite busy.,0,0,2,3,4,5,4,4,3,4,4,3,4,FALSE
65,14,6,2s,112,1,Don't know,0,0,White background with lots of red and black. There was a lot of text and not many images.,1,0,2,4,4,6,4,5,4,3,4,6,3,FALSE
66,15,1,2s,90,1,CLothing,1,0,"Male, female (both adults) small girl all wearing clothes on sale on website.  dull colours (maybe some yellow in there, who knows)",1,1,1,6,6,5,5,6,5,6,7,7,7,FALSE
67,15,2,2s,83,1,"Glasses, Sunglasses and Contact lenses",1,1,Selling of eye correction wear. Slightly bright and simple design,0,0,1,6,6,6,5,7,5,5,7,6,5,FALSE
68,15,3,2s,106,1,Activity equipment,1,0,"snow leopard, simple yet inviting page. Discount for equipment",1,2,0,5,5,5,5,4,4,5,6,5,5,FALSE
69,15,4,2s,84,1,Provides weather information,1,0,"Alot of information on weather, showed Temp of places and gave information generally on weather in different locations",1,1,0,5,5,4,3,7,3,4,5,6,4,FALSE
70,15,5,2s,82,1,food,0,0,black and yellow . bold . alot on page,0,0,1,3,3,4,3,4,3,4,3,2,5,FALSE
71,15,6,2s,104,1,porvide tech information and news,1,0,"alot of information in a small space, simple design. looked busy as a page",0,0,2,6,3,4,3,6,4,4,3,6,3,FALSE
72,16,1,2s,149,1,"Cloths, apparel ",1,0,"The name of the company is very small, and requires a little bit of looking to figure it out, therefore I completely missed the middle part of the website. The bottom part shows clothing options for everyone split into categories what seems to be a good idea to simply search.",1,2,0,4,4,6,4,6,3,4,4,4,4,FALSE
73,16,2,2s,121,1,Holidays,0,1,"White background looks easy to use, not fancy nor any super-advanced technologies seem to be implemented for users. fairly basic website",0,0,1,6,4,5,4,7,4,3,4,6,4,FALSE
74,16,3,2s,118,1,"Sporting equipment, potentially mostly mountains related ",1,0,"Tiger in the middle gets attention, probably more than the other picture of people hiking. Generally looks nice and esthetic, probably simple to use",1,2,1,6,5,5,4,5,4,4,6,6,5,FALSE
75,16,4,2s,130,1,"Nothing, appears to be a weather checking website",1,0,"The big picture of the chosen area in the middle provides quick, general information on what the weather is expected to be like, more specified options are available on the right-hand side. ",1,2,0,5,4,5,4,4,3,4,4,5,4,FALSE
76,16,5,2s,135,1,Pet food,1,1,"Various nice and colourful pictures of pets, which are pleasurable to look at. Quick delivery service available with clear and visible information.",1,2,0,4,6,6,5,4,5,4,5,4,5,FALSE
77,16,6,2s,170,0,Not sure if they sell anything,0,1,"A lot of information everywhere, potentially overwhelming amounts of text (also black and white), very low number of pictures, a lot of information provided",1,0,2,2,3,3,2,6,2,1,4,3,4,FALSE
78,19,1,2s,62,1,Clothing,1,0,People in the branded clothing.,1,1,0,4,3,5,4,4,3,2,4,4,2,FALSE
79,19,2,2s,62,1,Glasses,1,0,"People with glasses on, different types of glasses.",1,1,0,4,4,6,5,4,5,5,4,4,4,FALSE
80,19,3,2s,117,1,Sporting equipment,1,0,A tiger and two people running up a hill. Looked like an outdoor sport website perhaps hiking.,1,1,0,3,5,6,4,5,4,5,4,5,6,FALSE
81,19,4,2s,83,1,Weather information.,1,0,Show the forecast.,0,1,0,6,2,6,4,4,2,2,4,3,1,FALSE
82,19,5,2s,70,1,Food.,0,0,Supermarket website.,0,0,0,4,1,3,2,4,2,2,4,4,2,FALSE
83,19,6,2s,82,1,Tech blog,1,0,Tech articles.,0,0,0,3,3,5,4,5,4,3,4,5,4,FALSE
84,20,1,2s,325,1,i think it sells clothes,1,0,i saw advertisment for clothing,0,1,0,4,3,5,4,4,2,4,4,5,3,FALSE
85,20,2,2s,122,1,holidays,0,0,i saw a woman man and child laying on their front maybe sunbathing,0,1,0,6,5,6,4,6,5,6,5,6,5,FALSE
86,20,3,2s,106,1,clothes,1,0,"i saw a leopard , some boxes advertising things they were selling  ",1,2,0,6,5,6,6,5,5,5,6,6,5,FALSE
87,20,4,2s,99,1,it gives weather forcasts,1,0,the page had weather forcast showing for different days,0,1,0,7,6,7,5,7,5,5,7,7,5,FALSE
88,20,5,2s,114,0.5,not sure,0,0,not sure what he items were rocks ?,0,0,0,3,3,3,4,3,4,4,3,2,3,FALSE
89,20,6,2s,119,1,dont know,0,0,saw some white buildings,0,1,0,3,3,5,3,4,3,5,5,4,4,FALSE
90,21,1,2s,209,1,children's clothing - age range around 5 to 12years old?,1,1,The page had a small company logo to the top left. The pictures were quite big - the biggest one taking my primary focus. Colours were not too striking.,1,2,1,5,4,5,5,5,4,4,5,5,4,FALSE
91,21,2,2s,149,1,sunglasses and spectacles,1,0,I think there were 3 pictures on the page - the central one having a person smiling whilst wearing sunglasses. Light blues and white were primary colours. Bit of text towards the top of the screen,2,2,1,5,4,5,5,5,4,4,5,5,5,FALSE
92,21,3,2s,169,1,"seems to be an outdoor specialist providing footwear, clothing and accessories such as backpacks",1,0,The big snow leopard was a big focus. I think black and orange were primary colours. 4 images along the bottom were tabs to click on for various departments such as footwear and backpacks.,1,2,1,5,6,6,6,5,5,6,6,5,6,FALSE
93,21,4,2s,172,1,seems to be a weather forcast for a region of country,1,0,Seems to be a page providing weather information for an entire region of a country. Big image to the middle left of the screen displayed the region with weather symbols. Down the right hand side was text - but no time to read this,2,3,0,4,4,5,4,4,5,4,5,5,5,FALSE
94,21,5,2s,159,1,Not sure - i think it was pet foods,1,0,yellow was a very stand out colour. There were 4 items pictured near the bottom of the screen that i imagine were products for sale by the website,1,1,1,4,3,5,3,5,3,3,4,4,4,FALSE
95,21,6,2s,142,1,various news bulletins from around the world,0.5,1,The page was full of text where there wern't images. Black and red colours were prominant. There were various headings to click on.,1,1,2,2,2,4,4,3,4,3,3,3,3,FALSE
96,22,1,2s,86,1,clothing,1,1,"large picture of girl top screen 
a man , woman and small boy lower in screen each with statement item of clothing
woman and girl were both in yellow",1,2,0,5,5,4,5,5,4,4,5,5,5,FALSE
97,22,2,2s,75,1,glasses and prescriptions,1,0,"family all wearing sunglasses on the beach 
boxes with types of glasses they offer , contacts ect",1,2,0,5,5,5,5,4,5,5,5,5,5,FALSE
98,22,3,2s,132,1,sports equipment/ clothing specifically for hill sport or cross-country running,1,0,"large snow panther , next to a woman running across a hill
types of products below , running etc 
logo in top left corner , red and blue",1,3,0,4,4,5,5,3,5,4,5,6,5,FALSE
99,22,4,2s,55,1,provides weather reports,1,1,"large weather map , red zones on map",0,1,0,6,5,5,4,5,4,4,5,5,5,FALSE
100,22,5,2s,78,1,pet products and accessories,1,0,"large pictures and logos
delivery in 60 mins 
examples of items at bottom of screen
large cardboard box",2,4,0,5,3,5,3,4,4,4,5,5,4,FALSE
101,22,6,2s,91,1,provides information and articles about technology,1,0,"lots of writing
picture of coins in right corner, bad stocks?",1,1,1,3,3,5,4,4,3,3,4,3,3,FALSE
102,23,1,2s,99,1,Clothes for children,1,0,saw a girl the image of her was huge and the page looked clean with grey and maybe white,1,1,1,6,6,6,6,6,6,4,6,6,5,FALSE
103,23,2,2s,91,1,they sell contact lenses and lenses,1,0.5,saw a summer add and a picture of a family,0,1,0,5,4,5,3,5,5,4,5,4,5,FALSE
104,23,3,2s,91,1,extreme winter sport services,0.5,0,A picture of a white feline the red and black logo and I think a mountain,1,2,0,3,7,5,6,3,6,6,6,3,5,FALSE
105,23,4,2s,84,1,data about the weather,1,0,showed the weather through a period of time with icons of the weather and data,1,1,0,6,4,6,4,6,2,3,5,5,4,FALSE
106,23,5,2s,75,0,food,0,0,something about picking up food saw red and yellow colour,0,1,1,2,4,3,2,5,5,4,3,3,3,FALSE
107,23,6,2s,75,1,no idea,0,0,Saw many things all together so I couldn't focus but I think I saw a picture of a house,0,0,0,2,4,3,4,3,5,4,3,3,4,FALSE
108,24,1,2s,81,1,selling clothing,1,0,neautral tones and colours. I saw a child in a striped top,1,1,1,5,6,5,6,5,6,5,5,5,5,FALSE
109,24,2,2s,70,0,selling holidays,0,1,I saw a family on holiday. A picture of an eye,1,2,0,5,4,4,4,5,3,3,3,4,3,FALSE
110,24,3,2s,88,1,outdoor clothing,1,0,I saw a snow leopard in a large picture. A mountain and running,0,2,0,4,4,5,5,5,5,4,5,5,4,FALSE
111,24,4,2s,103,1,weather forecasts,1,0,I saw a weather chart. The words weathery and a picture of cloud and sun on a blue square,1,3,0,4,4,6,4,5,4,4,4,5,4,FALSE
112,24,5,2s,103,1,pet food,1,0,It looked like a discount or sale website. I remember a big red circle with a price in it. It looked cheap,1,1,1,6,1,5,1,6,1,1,1,5,1,FALSE
113,24,6,2s,110,1,technology,0.5,0,It had lots of information and words on the page. It did not look very interesting,0,0,1,2,1,2,2,3,4,1,1,3,1,FALSE
114,25,1,2s,139,1,sustainable fashion,1,0,"Lots of neutral colours like beige, pretty simple in design with 3 big pictures in the middle showing people wearing clothes, a big sticker with sustainable fashion, blue logo and only a little wording on the site",3,3,3,7,7,7,6,7,6,4,7,7,6,FALSE
115,25,2,2s,119,1,vacations or colthing,0,1,"it was pretty simple, one big picture with a family saying are you ready for your vacation, 3 smaller pictures underneath, one said sunglasses on it, no colour outside of the pictures, navigation bar at the top.",3,4,1,7,4,7,4,7,4,3,6,7,4,FALSE
116,25,3,2s,91,1,hiking gear,1,0,"big picture of a snow leopard, picture of some people walking up a mountain, a few other pictures below that, things layered over eachother ",1,3,0,4,5,5,5,6,6,5,5,3,5,FALSE
117,25,4,2s,122,1,shows the weather forecast,1,0,"big map showing the weather forecast, a small banner on the side with some news articles, one was about ice bergs, lots of white and blues colour wise, not a lot of text. ",2,2,2,5,3,6,4,7,2,2,4,5,2,FALSE
118,25,5,2s,115,1,pretty sure its pet food,1,0,"Massive yellow banner with writing on, lots of small icons with different animals on, i think i saw a hamster, a cardboard box. bright colours",2,4,1,2,1,2,1,2,1,1,1,2,1,FALSE
119,25,6,2s,109,1,looks like tech news,1,0,"banners on the sides with different articles, big article in the middle, a few pictures with titles under it, one had yellow and a woman with a shocked face, lots of text, not a lot of colour outside of the pictures",3,4,2,2,2,3,3,3,3,2,3,3,2,FALSE
120,26,1,2s,53,1,clothing,1,0,men and woman wearing jumpers,0,1,0,4,4,4,4,4,4,4,4,4,4,FALSE
121,26,2,2s,66,1,contact lenses,1,1,a beach with a family om it then i saw the word contact lenses and a picture of someone putting one in,1,2,0,4,4,4,4,4,4,4,4,4,4,FALSE
122,26,3,2s,48,1,sports gear,1,0,a white tiger,0,1,0,4,4,4,4,4,4,4,4,4,4,FALSE
123,26,4,2s,50,1,tells you the weather,1,0,a website that updates you on the weather,0,0,0,4,4,4,4,4,4,4,4,4,4,FALSE
124,26,5,2s,42,1,i dont know,0,0,i dont know,0,0,0,4,4,4,4,4,4,4,4,4,4,FALSE
125,26,6,2s,74,1,i didnt get to see but from what i saw it looked like some sort of home?,0,0,i didnt get to see much before it went off,0,0,0,4,4,4,4,4,4,4,4,4,4,FALSE
126,28,1,2s,139,1,Clothing,1,0,"circular logo
3 pictures of people modelling clothes",1,2,0,6,6,5,6,6,6,5,6,5,5,FALSE
127,28,2,2s,144,1,eye care products,1,0,"logo and phone number at top of page
large picture with caption 'are you ready for vacation?'
blue and white theme",1,2,1,5,5,3,5,4,5,5,5,3,4,FALSE
128,28,3,2s,119,1,outdoor equiptment?,1,0,picture of wild cat with 2 people running up hill,1,1,0,2,5,1,4,4,4,6,2,1,5,FALSE
129,28,4,2s,145,1,weather forecasts,1,0,displays symbols relating to weather forecast,0,1,0,5,5,6,4,5,3,4,5,5,5,FALSE
130,28,5,2s,143,1,dont know,0,0.5,yellow and black logo,0,1,0,5,3,4,3,4,3,3,3,3,4,FALSE
131,28,6,2s,148,1,Technology news stories,1,0,"Blocks of text with sub headings down left hand side
Newspaper style",1,1,1,3,6,7,5,6,6,4,6,6,5,FALSE
132,29,1,2s,118,1,"Sustainable fashion for men, women, and children.",1,0,"It was very clean looking with limited information, pictures, and colours. This made it easy to scan quickly and take in most things that were on the page (at least in general). There was a men's, women's, and children's section all of which were linked in the biggest bottom part of the page. The logo was in the top left corner and across the top of the page there seemed to be a menu of sorts. ",3,3,1,7,6,5,6,6,6,5,6,7,5,FALSE
133,29,2,2s,123,0,Eyewear (including contacts),1,1,"I tried to look more at the main body of the page and so didn't take in the top (including the name and logo). The main body featured a large picture of what I think were 2 children, or 1 child and 1 adult hugging. I think they were wearing sunglasses and I think my first instinct was that this was a travel website until I looked the categories below the big picture which included glasses and contacts - then I got really confused and then my time was up.",2,3,0,3,5,4,5,3,5,4,3,2,4,FALSE
134,29,3,2s,114,0.5,Outdoor clothing and equipment,1,0,"The page had a big tiger in the middle. Again, there was a menu across the top, with at the bottom of the page various options for direct categories - the first of which was clothing. The page was primarily in blue and red and featured pictures of mountains (I think) indicating the outdoorsiness of the brand and its products.",3,4,1,6,5,6,5,6,5,3,6,6,5,FALSE
135,29,4,2s,110,1,It gives weather information,1,1,The page had the logo in the top left followed by a menu across the top of the page. On the left of the page was a map with the weather depicted with standard weather symbols - quite a few suns! On the right were links to subpages as well as temperature (I think) predictions for the rest of the week.,3,4,0,6,5,7,4,6,4,2,6,6,4,FALSE
136,29,5,2s,119,1,"Animal food (I think), at least animal related products",1,0,It was quite colourful with various pictures of different animals including a rooster. The logo was in the top left and looked a bit cheap. It wasn't clear from the 2 second viewing whether they sold various animal products or just animal food. There was also a menu at the top with some offers I think spread across the page.,2,4,1,3,3,5,3,5,2,1,5,5,5,FALSE
137,29,6,2s,226,1,Tech news,1,0,It looked like a news website with various articles with headlines and accompanying pictures for every news article. The articles all seemed to be related to technology - I saw some pictures and articles that looked more like clickbait with others seemingly related to crypto. It was quite full overall and there didn't seem to be much structure to the page.,3,3,1,5,3,3,2,3,2,2,2,3,3,FALSE
138,30,1,2s,65,1,Sustainable clothing,1,0,Sells sustainable clothing for all ages and genders,0,1,0,6,7,7,7,6,7,6,7,7,6,FALSE
139,30,2,2s,66,1,Eye wear,1,0,Sells eye wear for different occasions,0,0,0,6,6,6,6,6,6,4,6,7,6,FALSE
140,30,3,2s,93,1,Hiking equipment???,1,0,Big leopard on front page,0,1,0,3,5,2,3,2,3,5,3,2,3,FALSE
141,30,4,2s,95,1,Shows the weather,1,1,Quite cheap however has useful information,0,0,0,4,2,5,2,7,1,2,5,5,2,FALSE
142,30,5,2s,130,1,Stuff for pets,1,0,Quite cheap gives vibes of shops which always say they have big discounts and sales,1,0,1,5,3,3,1,4,3,3,4,3,3,FALSE
143,30,6,2s,67,1,Shows articles about current tech news,1,0.5,Quite clearn layout however is abit too crowded,0,0,1,2,5,5,5,5,5,5,6,4,5,FALSE
144,31,1,2s,148,1,clothing,1,0,"very simple looking page with a male, female and younger child, there was a logo and name in the top left corner Whistles this wasnt the easiest to read, the colours were blue and yellow, yellow being very dominent, at the bottom looked like the 3 catagories you would be able to click on ",3,3,2,6,6,6,5,5,5,6,6,6,6,FALSE
145,31,2,2s,153,1,glasses,1,1,"holiday seen in the top left picture, looked like they were sellign sunglasses, very light looking website, there were 3 large boxes below which looked like they could be clicked on, I-care logo at the top left of the page ",2,3,1,6,6,6,6,5,6,5,6,6,6,FALSE
146,31,3,2s,137,1,outdoor clothing,1,0,"hillspot name in the top left corner, a large leopard or cheetah dominent picture, then 4 boxes towards the bottom with clothing, footwear and 2 other options to click on. ",2,4,0,5,6,5,5,5,5,4,5,5,5,FALSE
147,31,4,2s,119,1,provides weather forecasting,1,0,"blue being the dominent colour, a large map of the US with the local weathers, down the right hand side looked like the weekly forecast ",1,1,1,3,5,6,5,5,6,5,5,5,4,FALSE
148,31,5,2s,124,1,food,0,0.5,"red circle and lots of yellow, 4 items in a row that were for sale ",1,2,1,5,3,5,2,4,3,3,3,4,3,FALSE
149,31,6,2s,158,1,"unknown, lots of writing, the page looked very chaotic ",0,0,"the page had lots of small writing all over the page with a large picture at the top and some sort of article underneath, it was very chaotic in its layout and not very easy to view ",1,2,1,1,1,1,2,2,4,2,1,1,1,FALSE
150,32,1,2s,49,1,sustainable fashion,1,0,Images of people in items for sale on the website,0,1,0,5,3,4,6,3,4,5,5,5,4,FALSE
151,32,2,2s,64,1,Sunglasses/contact lenses for holidays,1,0,Number of images advertising either sun glasses or contact lenses,1,1,0,5,3,5,4,6,2,5,4,3,5,FALSE
