,respondent,task,interval,time,company,purpose,detail,description,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,familiarity
16,5,5,2s,135.0,mega zoo,i think it was food oriented ,60 secs,a red and yellow website with red circle containing the text 60secs,2.0,4.0,6.0,2.0,6.0,2.0,4.0,4.0,2.0,5.0,False
17,5,6,2s,149.0,Tech Live,information on technology,a building either a factory or technical centre,text down both sides of the website with pictures in the middle one was a building and another was a woman with surprise on her face,7.0,4.0,7.0,5.0,6.0,5.0,6.0,6.0,7.0,5.0,False
18,7,1,2s,182.0,whistles,"clothings for men, women and chrildren ",hedgehog ,"the page is for a sustainable clothing company, which makes clothing for all the family. The colours used were very neutral.",7.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,7.0,2.0,False
19,7,2,2s,293.0,I-care,Although the main image and title makes it look like the company sells holidays they actually sell eyewear - sunglasses and contact lenses,2,"The page was quite simple. I like the images which showed the different categories of products they sell. The main image and the heading at first glance do make it appear like the company sells holidays, it is not until you look further down the page and see the products they sell that i knew they sold eyewear. ",6.0,4.0,5.0,4.0,2.0,5.0,3.0,4.0,3.0,3.0,False
20,7,3,2s,216.0,hillsport ,sportswear?,"a big cat, a cheater i think. ",the logo which included a hill and the colour red. A large main image that had an image of a big cat and writing about that collection on the side. Underneath that was some columns with images on which i would assume showed the products that the company sells.,6.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,6.0,5.0,False
21,7,4,2s,232.0,Weather,weather updates ,thursday,The main image is of a map which showed what the weather was going to be like across that area. There was also a longer weather forecast below that. There was an orange box at the side with an umbrella in and some text and below that images and the headlines of some articles.  ,5.0,4.0,6.0,4.0,6.0,3.0,2.0,4.0,6.0,1.0,False
22,7,5,2s,137.0,Megazoo,products for animals,dont recall,a page for a company called megazoo. They sell products for animals. The website used bright primary colours. ,6.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,6.0,5.0,False
23,7,6,2s,151.0,Tech-Live,information about the tech industry ,"white blocks, would guess they are battery packs or servers",blog or news site about the tech industry. it was made up of lots of links to articles/blog posts,3.0,3.0,5.0,5.0,6.0,4.0,3.0,4.0,5.0,3.0,False
24,8,1,2s,73.0,Whistles,Clothing,Don't know,"I saw three different pictures at the bottom - one for womens, one for mens and one for children's clothing. The logo was quite small and in the top left hand corner",6.0,6.0,6.0,6.0,5.0,6.0,2.0,6.0,6.0,5.0,False
25,8,2,2s,80.0,I-care,Eyewear,Don't know,I saw three different pillars - one of them was sunglasses. Each pillar had a picture with it. It had a yellow and blue theme,6.0,6.0,6.0,4.0,5.0,5.0,3.0,5.0,6.0,3.0,False
26,8,3,2s,68.0,Hillsport,Backpacks and outdoor gear,Don't know,"I saw a cheetah or leopard in the picture, two hikers behind him. Didn't see a lot else as this was very dominant",5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,False
27,8,4,2s,117.0,Weathery,Weather forecast,Don't know,It had a weather forecast on there with temperatures given ,3.0,5.0,6.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,False
28,8,5,2s,73.0,Mega Zoo,Animals,Don't know,I saw quite a few tabs with different animal groups on them. I think there was a yellow circle and I think there was a mouse or rat,6.0,5.0,5.0,3.0,6.0,3.0,3.0,5.0,6.0,4.0,False
29,8,6,2s,65.0,Tech-Live,No idea,Don't know,I saw 4 pictures and quite a lot of writing. It did not look simple to understand at all,1.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,False
30,9,1,2s,98.0,whistles,clothing,dog,"clean images of children, muted tones, cosy look",5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,True
31,9,2,2s,101.0,i-care,contact lenses,2,"quite sparse, looked like a travel website but think it sold eye care. quite a few images",4.0,4.0,4.0,3.0,5.0,5.0,2.0,4.0,4.0,2.0,False
32,9,3,2s,93.0,hillsport,outdoor clothing,2020,"cute leopard, lots of other images, lots of boxes for clicking through to ",4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,False
33,9,4,2s,97.0,weathery,weather forecast,tuesday,"lots and lots of text, very blue",4.0,3.0,4.0,3.0,6.0,2.0,2.0,4.0,4.0,3.0,True
34,9,5,2s,99.0,mega zoo,animal products ,question marks ,"pictures of animals and animal foods, lots of green and yellow",2.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,False
35,9,6,2s,164.0,tech live,reuseable energy,solar panels ,"lots of text, what looked like news articles, confused looking person, muted colours",2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,False
36,10,1,2s,123.0,not sure ,cloths for kids ,not sure ,children showing in picture for adv of clothing. online selling website for clothing for kids ,6.0,6.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,False
37,10,2,2s,246.0,ice care ,ready for,2,picture with a family and laying on beach ,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,False
38,10,3,2s,152.0,hillspot ,not sure,tiger,hilspot is the name of the website and there was a picture of a tiger in the center  of the website and i did looked to what it is for but saw the tiger and i think it maybe a site for  tours ,4.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,False
39,10,4,2s,168.0,weather,weather forecast,not sure,it was good looking website with colors related to the weather of the day i believe. it was showing a map with forecast of different ares   ,4.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,False
40,10,5,2s,97.0,maga zoo,food items,not sure ,food items were shown at the bottoms of the website. it was in packages  ,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,False
41,10,6,2s,184.0,tech live,news provider or articals ,a women ,the website has many small windows related to different topic for example about the women who was holding a makeup set and i believe the site provides information about news ,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,False
42,11,1,2s,131.0,Whistles,The web page sells child clothes. ,As far as I remember it was giraffe,"There are three or four children on the web page, and the brand presents itself as providing sustainable clothes. ",6.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,4.0,False
43,11,2,2s,125.0,I - care,It sells vacation or vaccination and sunglasses. ,I think there were two children. ,"There was a family in the photo, and there were some sections under the photo to choose.",5.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,False
44,11,3,2s,157.0,Hillsport,This web page sell sports products for mountain sports. ,There is a mountain covered by snow. ,"The brand was on the left top, and there was a big photo of the mountain on the left side. There was a symbol of a panther or tiger. ",6.0,5.0,5.0,4.0,6.0,5.0,3.0,5.0,5.0,4.0,False
45,11,4,2s,197.0,Weathery ,It provides information for weather forecast.,Opps. I could not see it. ,The web page was designed simply. It provides information about the weather. I think there were sections to choose day and the place but I am not very sure. ,6.0,6.0,6.0,5.0,7.0,5.0,4.0,6.0,6.0,5.0,False
46,11,5,2s,177.0,Mega zoo,I think it sells food. There is too much yellow background. I could not see the parts of the web page very clearly.,fork and knife. (But I am not quite sure.),I mean the intensity of the yellow color was too much. The brand name was not very clear and recognisable. ,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,False
47,11,6,2s,180.0,Tech - Live,I think it provides information what the latest tecnological developments/news. ,As far as I remember there was a building in construction.,"As far as I remember, there were links for news or articles about the technology with bold letters for headings and short summaries or first paragraphs of the news in the web page. ",3.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,2.0,4.0,False
48,12,1,2s,130.0,Unistyles,Sustainable fashion,Hedgehog,Individuals wearing sustainable fashion. Different colours and designs being worn.,7.0,7.0,7.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,False
49,12,2,2s,346.0,I-Care,They sell eye-wear e.g sunglasses and contact lenses,2,Web page advertising eye wear for families that are going on vacation. Made up of images in relations to eyes.,5.0,5.0,5.0,4.0,6.0,3.0,3.0,5.0,5.0,4.0,False
50,12,3,2s,99.0,Hillsport,Not sure,2020,A large white tiger image and underneath offers clothing.,2.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,False
51,12,4,2s,129.0,Weatherly,Shows the weather forecast,Thursday,A nice layout of the weather forecast for Thursday with clouds.,7.0,5.0,7.0,4.0,7.0,4.0,4.0,5.0,7.0,5.0,False
52,12,5,2s,505.0,Mega Zoo,Products for animals like furniture and sand.,Something about a 60 minute time frame,Just a simple website for people that own pets and require furniture.,4.0,2.0,4.0,2.0,6.0,1.0,3.0,4.0,4.0,3.0,False
53,12,6,2s,135.0,Tech-Live,Information on technology,Energy Storage Units,Just general information on technology. Latest news for people to read about online.,6.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,False
54,13,1,2s,99.0,Whistles,"It sells clothes for men, kids.",There were pictures of men and kids.,It's about selling clothes for men and kids.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False
55,13,2,2s,100.0,I-care,It provides holiday service.,2,People can book a tour package from this website.,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,False
56,13,3,2s,103.0,Hillsport,It's about trekking.,202-,It's about providing people trekking services.,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,False
57,13,4,2s,80.0,Weathery,It shows weather forecast.,Monday,You can check weather forecast from this website.,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False
58,13,5,2s,81.0,Megazoo,It provides all the groceries.,Groceries,You can buy all the groceries from this website.,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False
59,13,6,2s,84.0,Tech Live,It is about technology.,A girl with the phone,It was about technology.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False
60,14,1,2s,84.0,Whistles,Clothes,Don't know,"There was a min picture that stretched across the page, logo top left, three signposts below.",6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,False
61,14,2,2s,95.0,Eye care,glasses,1,There was lots of white and blue. There were three signposts below the main image.,6.0,4.0,6.0,4.0,6.0,4.0,4.0,5.0,6.0,5.0,False
62,14,3,2s,108.0,Hill sport,Clothing and footwear,Don't know,"There was an image of a big cat with wording to the right, four signposts below, logo top left.",4.0,4.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,3.0,False
63,14,4,2s,80.0,Weatherly,Weather info,Don't know,"There was a big map, days of the week underneath and more info down the right hand side.",2.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,3.0,False
64,14,5,2s,111.0,Mega zoo,Pet supplies,Dog treats,There was lots of colour and it felt quite busy.,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,False
65,14,6,2s,112.0,Tech live,Don't know,Batteries,White background with lots of red and black. There was a lot of text and not many images.,4.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,6.0,3.0,False
66,15,1,2s,90.0,Whistles,CLothing,no idea,"Male, female (both adults) small girl all wearing clothes on sale on website.  dull colours (maybe some yellow in there, who knows)",6.0,6.0,5.0,5.0,6.0,5.0,6.0,7.0,7.0,7.0,False
67,15,2,2s,83.0,I-Care,"Glasses, Sunglasses and Contact lenses",2,Selling of eye correction wear. Slightly bright and simple design,6.0,6.0,6.0,5.0,7.0,5.0,5.0,7.0,6.0,5.0,False
68,15,3,2s,106.0,hill sports,Activity equipment,no idea,"snow leopard, simple yet inviting page. Discount for equipment",5.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0,False
69,15,4,2s,84.0,Weatherly,Provides weather information,no idea,"Alot of information on weather, showed Temp of places and gave information generally on weather in different locations",5.0,5.0,4.0,3.0,7.0,3.0,4.0,5.0,6.0,4.0,False
70,15,5,2s,82.0,mega zoo,food,monkey,black and yellow . bold . alot on page,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,5.0,False
71,15,6,2s,104.0,tech live,porvide tech information and news,female picture,"alot of information in a small space, simple design. looked busy as a page",6.0,3.0,4.0,3.0,6.0,4.0,4.0,3.0,6.0,3.0,False
72,16,1,2s,149.0,Whistles,"Cloths, apparel ",Llama?,"The name of the company is very small, and requires a little bit of looking to figure it out, therefore I completely missed the middle part of the website. The bottom part shows clothing options for everyone split into categories what seems to be a good idea to simply search.",4.0,4.0,6.0,4.0,6.0,3.0,4.0,4.0,4.0,4.0,False
73,16,2,2s,121.0,I-CARE,Holidays,2,"White background looks easy to use, not fancy nor any super-advanced technologies seem to be implemented for users. fairly basic website",6.0,4.0,5.0,4.0,7.0,4.0,3.0,4.0,6.0,4.0,False
74,16,3,2s,118.0,hill sport,"Sporting equipment, potentially mostly mountains related ",No idea,"Tiger in the middle gets attention, probably more than the other picture of people hiking. Generally looks nice and esthetic, probably simple to use",6.0,5.0,5.0,4.0,5.0,4.0,4.0,6.0,6.0,5.0,False
75,16,4,2s,130.0,Weathery,"Nothing, appears to be a weather checking website",No idea,"The big picture of the chosen area in the middle provides quick, general information on what the weather is expected to be like, more specified options are available on the right-hand side. ",5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,False
76,16,5,2s,135.0,Mega zoo,Pet food,Dog paw?,"Various nice and colourful pictures of pets, which are pleasurable to look at. Quick delivery service available with clear and visible information.",4.0,6.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,False
77,16,6,2s,170.0,No clue,Not sure if they sell anything,Landscape,"A lot of information everywhere, potentially overwhelming amounts of text (also black and white), very low number of pictures, a lot of information provided",2.0,3.0,3.0,2.0,6.0,2.0,1.0,4.0,3.0,4.0,False
78,19,1,2s,62.0,Whistles,Clothing,bird,People in the branded clothing.,4.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,False
79,19,2,2s,62.0,I-care,Glasses,not sure,"People with glasses on, different types of glasses.",4.0,4.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,False
80,19,3,2s,117.0,Hill sport,Sporting equipment,2019,A tiger and two people running up a hill. Looked like an outdoor sport website perhaps hiking.,3.0,5.0,6.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,False
81,19,4,2s,83.0,Weathry,Weather information.,Not sure,Show the forecast.,6.0,2.0,6.0,4.0,4.0,2.0,2.0,4.0,3.0,1.0,False
82,19,5,2s,70.0,MegaZoo,Food.,Not sure.,Supermarket website.,4.0,1.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,False
83,19,6,2s,82.0,Tech - Live,Tech blog,A picture about batteries.,Tech articles.,3.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,False
84,20,1,2s,325.0,whistles,i think it sells clothes ,cant recall,i saw advertisment for clothing,4.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,False
85,20,2,2s,122.0,I- care,holidays ,1,i saw a woman man and child laying on their front maybe sunbathing,6.0,5.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,5.0,False
86,20,3,2s,106.0,Hillsport,clothes,dont know,"i saw a leopard , some boxes advertising things they were selling  ",6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,False
87,20,4,2s,99.0,weather,it gives weather forcasts,dont know ,the page had weather forcast showing for different days ,7.0,6.0,7.0,5.0,7.0,5.0,5.0,7.0,7.0,5.0,False
88,20,5,2s,114.0,Zoo,not sure,dont know,not sure what he items were rocks ?,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,False
89,20,6,2s,119.0,Tech live,dont know,buildings of some sort,saw some white buildings ,3.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,False
90,21,1,2s,209.0,whistles,children's clothing - age range around 5 to 12years old?,hedgehog,The page had a small company logo to the top left. The pictures were quite big - the biggest one taking my primary focus. Colours were not too striking.,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,False
91,21,2,2s,149.0,i-care,sunglasses and spectacles,1,I think there were 3 pictures on the page - the central one having a person smiling whilst wearing sunglasses. Light blues and white were primary colours. Bit of text towards the top of the screen,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,False
92,21,3,2s,169.0,hillsport,"seems to be an outdoor specialist providing footwear, clothing and accessories such as backpacks",didnt see,The big snow leopard was a big focus. I think black and orange were primary colours. 4 images along the bottom were tabs to click on for various departments such as footwear and backpacks.,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,False
93,21,4,2s,172.0,weathery,seems to be a weather forcast for a region of country,did not see,Seems to be a page providing weather information for an entire region of a country. Big image to the middle left of the screen displayed the region with weather symbols. Down the right hand side was text - but no time to read this,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,False
94,21,5,2s,159.0,Mega Zoo,Not sure - i think it was pet foods,don't know - two circles?,yellow was a very stand out colour. There were 4 items pictured near the bottom of the screen that i imagine were products for sale by the website,4.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,False
95,21,6,2s,142.0,tech live,various news bulletins from around the world,i think there was some sort of power plant,The page was full of text where there wern't images. Black and red colours were prominant. There were various headings to click on.,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,False
96,22,1,2s,86.0,whistels,clothing,hedgehog,"large picture of girl top screen 
a man , woman and small boy lower in screen each with statement item of clothing
woman and girl were both in yellow",5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,False
97,22,2,2s,75.0,ICare,glasses and prescriptions ,3,"family all wearing sunglasses on the beach 
boxes with types of glasses they offer , contacts ect",5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,False
98,22,3,2s,132.0,hillsport,sports equipment/ clothing specifically for hill sport or cross-country running,50% off,"large snow panther , next to a woman running across a hill
types of products below , running etc 
logo in top left corner , red and blue",4.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,6.0,5.0,False
99,22,4,2s,55.0,weathery ,provides weather reports,Thursday ,"large weather map , red zones on map",6.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,False
100,22,5,2s,78.0,megazoo,pet products and accessories ,60 mins,"large pictures and logos
delivery in 60 mins 
examples of items at bottom of screen
large cardboard box",5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,False
101,22,6,2s,91.0,techlive,provides information and articles about technology ,a news article ,"lots of writing
picture of coins in right corner, bad stocks?",3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,False
102,23,1,2s,99.0,whistles,Clothes for children,no idea,saw a girl the image of her was huge and the page looked clean with grey and maybe white,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,5.0,False
103,23,2,2s,91.0,I-care,they sell contact lenses and lenses,2-3?,saw a summer add and a picture of a family,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,False
104,23,3,2s,91.0,hillsport,extreme winter sport services,no idea,A picture of a white feline the red and black logo and I think a mountain,3.0,7.0,5.0,6.0,3.0,6.0,6.0,6.0,3.0,5.0,False
105,23,4,2s,84.0,wethery,data about the weather,no idea,showed the weather through a period of time with icons of the weather and data,6.0,4.0,6.0,4.0,6.0,2.0,3.0,5.0,5.0,4.0,False
106,23,5,2s,75.0,no idea,food,no idea,something about picking up food saw red and yellow colour,2.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,False
107,23,6,2s,75.0,tech-live,no idea,A house I think,Saw many things all together so I couldn't focus but I think I saw a picture of a house,2.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,False
108,24,1,2s,81.0,whistles,selling clothing,I do not know,neautral tones and colours. I saw a child in a striped top,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,False
109,24,2,2s,70.0,I do not know,selling holidays,two,I saw a family on holiday. A picture of an eye,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,False
110,24,3,2s,88.0,hillsport,outdoor clothing,I do not know,I saw a snow leopard in a large picture. A mountain and running,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,False
111,24,4,2s,103.0,weathery,weather forecasts,I don't know,I saw a weather chart. The words weathery and a picture of cloud and sun on a blue square,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,False
112,24,5,2s,103.0,mega zoo,pet food,I dont know,It looked like a discount or sale website. I remember a big red circle with a price in it. It looked cheap,6.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,5.0,1.0,False
113,24,6,2s,110.0,tech live,technology,The background was white. I think there was a picture of landfill,It had lots of information and words on the page. It did not look very interesting,2.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,False
114,25,1,2s,139.0,Whistless,sustainable fashion,rabbit?,"Lots of neutral colours like beige, pretty simple in design with 3 big pictures in the middle showing people wearing clothes, a big sticker with sustainable fashion, blue logo and only a little wording on the site",7.0,7.0,7.0,6.0,7.0,6.0,4.0,7.0,7.0,6.0,False
115,25,2,2s,119.0,i-care,vacations or colthing,2,"it was pretty simple, one big picture with a family saying are you ready for your vacation, 3 smaller pictures underneath, one said sunglasses on it, no colour outside of the pictures, navigation bar at the top.",7.0,4.0,7.0,4.0,7.0,4.0,3.0,6.0,7.0,4.0,False
116,25,3,2s,91.0,hill spot,hiking gear,no idea,"big picture of a snow leopard, picture of some people walking up a mountain, a few other pictures below that, things layered over eachother ",4.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,False
117,25,4,2s,122.0,weathery,shows the weather forecast,no idea,"big map showing the weather forecast, a small banner on the side with some news articles, one was about ice bergs, lots of white and blues colour wise, not a lot of text. ",5.0,3.0,6.0,4.0,7.0,2.0,2.0,4.0,5.0,2.0,False
118,25,5,2s,115.0,mega zoo,pretty sure its pet food,no idea,"Massive yellow banner with writing on, lots of small icons with different animals on, i think i saw a hamster, a cardboard box. bright colours",2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,False
119,25,6,2s,109.0,tech live,looks like tech news,i think it was some sort of building like in a field,"banners on the sides with different articles, big article in the middle, a few pictures with titles under it, one had yellow and a woman with a shocked face, lots of text, not a lot of colour outside of the pictures",2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,False
120,26,1,2s,53.0,whistles,clothing,i dont know,men and woman wearing jumpers,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False
121,26,2,2s,66.0,i care,contact lenses,2,a beach with a family om it then i saw the word contact lenses and a picture of someone putting one in,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False
122,26,3,2s,48.0,hill sport,sports gear,a white tiger,a white tiger,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False
123,26,4,2s,50.0,weathery,tells you the weather,i didnt see,a website that updates you on the weather,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False
124,26,5,2s,42.0,mega zoo,i dont know,i dont know,i dont know,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False
125,26,6,2s,74.0,tech live,i didnt get to see but from what i saw it looked like some sort of home?,i dont know,i didnt get to see much before it went off,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False
126,28,1,2s,139.0,Wistles,Clothing,monkey,"circular logo
3 pictures of people modelling clothes",6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,False
127,28,2,2s,144.0,i-care,eye care products,3,"logo and phone number at top of page
large picture with caption 'are you ready for vacation?'
blue and white theme",5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,False
128,28,3,2s,119.0,hill spot,outdoor equiptment?,dont know,picture of wild cat with 2 people running up hill,2.0,5.0,1.0,4.0,4.0,4.0,6.0,2.0,1.0,5.0,False
129,28,4,2s,145.0,Weathery,weather forecasts,dont know,displays symbols relating to weather forecast,5.0,5.0,6.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,False
130,28,5,2s,143.0,Mega Zoo,dont know,circle,yellow and black logo,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,False
131,28,6,2s,148.0,Tech live,Technology news stories,dont know,"Blocks of text with sub headings down left hand side
Newspaper style",3.0,6.0,7.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,False
